State,Year,SETTING,TotalValue,MedianIncome,Population,UnemploymentRate,PovertyRate,BachelorsDegreeOrHigher
AK,2023,ED,161.335935543,88121.0,5012227.0,4.0,11.98,35.03
AK,2023,IP,127.398603034,88121.0,5012227.0,4.0,11.98,35.03
AK,2024,ED,133.562940494,90549.0,4999254.0,3.96,12.04,34.89
AK,2024,IP,82.299853799,90549.0,4999254.0,3.96,12.04,34.89
AL,2023,ED,438.15082064,62212.0,4977698.0,3.92,11.89,35.03
AL,2023,IP,743.656369404,62212.0,4977698.0,3.92,11.89,35.03
AL,2024,ED,271.858692254,64049.0,4990740.0,4.06,12.09,35.11
AL,2024,IP,547.325301327,64049.0,4990740.0,4.06,12.090000000000002,35.11
AR,2023,ED,312.51092743099997,58700.0,5002194.0,4.04,11.9,35.15
AR,2023,IP,57409.234739741,58700.0,5002194.0,4.04,11.9,35.15
AR,2024,ED,414.605472778,60233.0,4976162.0,4.05,11.94,34.96
AR,2024,IP,59819.63226986,60233.0,4976162.0,4.05,11.94,34.96
AS,2023,ED,15.92505855,,,,,
AZ,2023,ED,497.815055965,77315.0,4997635.0,4.04,12.040000000000001,34.92
AZ,2023,IP,642.545294354,77315.0,4997635.0,4.04,12.04,34.92
AZ,2024,ED,331375.659434411,79498.0,4998877.0,4.06,12.040000000000001,35.15
AZ,2024,IP,409.206031716,79498.0,4998877.0,4.06,12.04,35.15
CA,2023,ED,168401.092633969,95521.0,4977549.0,4.0,11.910000000000002,35.07
CA,2023,IP,60177.922541138,95521.0,4977549.0,4.0,11.91,35.07
CA,2024,ED,166633.445918683,97901.0,4989131.0,3.96,11.989999999999998,34.93
CA,2024,IP,60037.783489462,97901.0,4989131.0,3.9600000000000004,11.99,34.93
CO,2023,ED,490.473170286,92911.0,5019895.0,3.98,12.04,34.88
CO,2023,IP,59048.11327572,92911.0,5019895.0,3.9800000000000004,12.04,34.88
CO,2024,ED,437.607604172,94011.0,4996802.0,3.93,12.09,34.83
CO,2024,IP,60165.351836167,94011.0,4996802.0,3.93,12.09,34.83
CT,2023,ED,94.299546418,91665.0,5019950.0,4.05,11.92,34.92
CT,2023,IP,297.866754836,91665.0,5019950.0,4.05,11.92,34.92
CT,2024,ED,52.679091868,92956.0,5022824.0,4.01,12.120000000000001,35.0
CT,2024,IP,56133.720836705,92956.0,5022824.0,4.01,12.12,35.0
DC,2023,ED,5.027932961,76514.0,4999705.0,4.04,11.98,35.01
DC,2023,IP,97.59623311600001,76514.0,4999705.0,4.04,11.979999999999999,35.01
DC,2024,ED,63.873039238000004,76514.0,4996975.0,3.9799999999999995,11.98,34.94
DC,2024,IP,206.209149058,76514.0,4996975.0,3.98,11.98,34.94
DE,2023,ED,68.783134582,82174.0,5013839.0,3.94,12.01,34.87
DE,2023,IP,85.812574378,82174.0,5013839.0,3.94,12.01,34.87
DE,2024,ED,106.315736909,84512.0,4994200.0,4.01,12.09,35.03
DE,2024,IP,63.509178128,84512.0,4994200.0,4.01,12.089999999999998,35.03
FL,2023,ED,166266.319784622,73311.0,5001635.0,3.94,12.02,35.1
FL,2023,IP,1205.110868098,73311.0,5001635.0,3.94,12.02,35.1
FL,2024,ED,716.040947458,75388.0,5001046.0,3.92,11.93,34.88
FL,2024,IP,1137.3726944320001,75388.0,5001046.0,3.92,11.93,34.88
GA,2023,ED,620.365238177,74632.0,4995498.0,4.03,12.02,35.12
GA,2023,IP,687.646656633,74632.0,4995498.0,4.03,12.02,35.12
GA,2024,ED,547.966535063,75989.0,4988915.0,3.92,12.1,34.97
GA,2024,IP,58600.819219998,75989.0,4988915.0,3.9200000000000004,12.1,34.97
GU,2023,ED,12.8358209,76514.0,4986449.0,3.95,12.07,35.08
GU,2024,IP,48.46153846,76514.0,4981201.0,3.95,12.1,34.93
HI,2023,ED,161177.708541693,95322.0,4989302.0,4.03,11.92,34.98
HI,2023,IP,121.082624699,95322.0,4989302.0,4.03,11.92,34.98
HI,2024,ED,73.198029898,97090.0,5017486.0,3.9600000000000004,12.04,34.99
HI,2024,IP,108.047048792,97090.0,5017486.0,3.9600000000000004,12.04,34.99
IA,2023,ED,560.322935231,71433.0,4977623.0,4.07,11.96,34.95
IA,2023,IP,701.583841155,71433.0,4977623.0,4.07,11.96,34.95
IA,2024,ED,434.382783286,73232.0,4981433.0,3.92,11.99,35.07
IA,2024,IP,492.386285585,73232.0,4981433.0,3.92,11.990000000000002,35.07
ID,2023,ED,200.007549467,74942.0,5013487.0,3.9599999999999995,12.03,35.02
ID,2023,IP,385.055966032,74942.0,5013487.0,3.96,12.03,35.02
ID,2024,ED,198.001331913,77186.0,4991549.0,3.99,11.88,34.91
ID,2024,IP,387.59994057,77186.0,4991549.0,3.9900000000000007,11.88,34.91
IL,2023,ED,319849.548739095,80306.0,5019028.0,4.0,12.06,35.0
IL,2023,IP,1096.667375309,80306.0,5019028.0,4.0,12.06,35.0
IL,2024,ED,608.216310774,81335.0,4994972.0,4.05,11.95,35.05
IL,2024,IP,1162.011332517,81335.0,4994972.0,4.05,11.95,35.05
IN,2023,ED,409.812391679,69477.0,5005971.0,4.07,12.11,34.88
IN,2023,IP,1208.251607657,69477.0,5005971.0,4.07,12.109999999999998,34.88
IN,2024,ED,168593.970826105,70390.0,4975040.0,3.93,11.93,35.05
IN,2024,IP,936.219381876,70390.0,4975040.0,3.93,11.93,35.05
KS,2023,ED,623.981289638,70333.0,4998042.0,3.96,12.1,35.16
KS,2023,IP,52653.749460043,70333.0,4998042.0,3.9599999999999995,12.1,35.16
KS,2024,ED,162841.282873389,71487.0,5005840.0,4.03,11.9,34.95
KS,2024,IP,536.997795794,71487.0,5005840.0,4.03,11.9,34.95
KY,2023,ED,163943.333509301,61118.0,5003166.0,4.06,11.949999999999998,35.07
KY,2023,IP,564.845166512,61118.0,5003166.0,4.06,11.95,35.07
KY,2024,ED,159105.458181669,62817.0,4994795.0,4.05,11.91,35.02
KY,2024,IP,726.139779897,62817.0,4994795.0,4.05,11.91,35.02
LA,2023,ED,670.752850462,58229.0,4985783.0,4.0,11.99,35.13
LA,2023,IP,863.327411374,58229.0,4985783.0,4.0,11.99,35.13
LA,2024,ED,639.323050432,59669.0,4985818.0,4.07,11.91,35.05
LA,2024,IP,815.218460534,59669.0,4985818.0,4.07,11.91,35.05
MA,2023,ED,321.442375348,99858.0,5022434.0,4.05,11.95,34.94
MA,2023,IP,57167.918605737,99858.0,5022434.0,4.05,11.95,34.94
MA,2024,ED,216.000122918,102282.0,5001313.0,4.02,11.97,34.98
MA,2024,IP,463.003464122,102282.0,5001313.0,4.02,11.97,34.98
MD,2023,ED,164388.084129316,98678.0,4996034.0,4.02,11.94,35.1
MD,2023,IP,206.185980328,98678.0,4996034.0,4.02,11.94,35.1
MD,2024,ED,180.558761403,100599.0,5010828.0,4.0,12.05,34.91
MD,2024,IP,309.725458352,100599.0,5010828.0,4.0,12.05,34.91
ME,2023,ED,145315.82605511,73733.0,5023447.0,4.03,12.0,34.93
ME,2023,IP,171.834077387,73733.0,5023447.0,4.03,12.0,34.93
ME,2024,ED,141.788287907,75296.0,4994687.0,4.04,12.06,35.02
ME,2024,IP,211.169063594,75296.0,4994687.0,4.04,12.06,35.02
MI,2023,ED,778.002676363,69183.0,5013349.0,4.02,11.96,35.04
MI,2023,IP,970.947235776,69183.0,5013349.0,4.02,11.96,35.04
MI,2024,ED,653.6648350629999,70950.0,5013530.0,4.0,12.01,35.02
MI,2024,IP,681.182375611,70950.0,5013530.0,4.0,12.01,35.02
MN,2023,ED,601.029437662,85086.0,4985240.0,3.98,12.07,34.96
MN,2023,IP,57961.078306835,85086.0,4985240.0,3.98,12.07,34.96
MN,2024,ED,606.138654241,87067.0,5000357.0,4.01,12.09,34.91
MN,2024,IP,61438.440490342,87067.0,5000357.0,4.01,12.09,34.91
MO,2023,ED,411.521833102,68545.0,5023881.0,4.06,11.91,34.95
MO,2023,IP,55556.601803497,68545.0,5023881.0,4.06,11.91,34.95
MO,2024,ED,665.424285772,70301.0,4999377.0,3.9500000000000006,12.05,35.02
MO,2024,IP,662.4079404080001,70301.0,4999377.0,3.95,12.05,35.02
MP,2024,ED,0.0,76514.0,4996111.0,3.96,11.93,35.0
MS,2023,ED,397.972833418,54203.0,5022389.0,3.92,11.93,35.01
MS,2023,IP,116088.151020931,54203.0,5022389.0,3.92,11.93,35.01
MS,2024,ED,243.151503298,55364.0,5013043.0,4.03,11.92,34.92
MS,2024,IP,895.636144939,55364.0,5013043.0,4.03,11.92,34.92
MT,2023,ED,345.523704593,70804.0,5014676.0,3.92,12.01,35.07
MT,2023,IP,327.34894253699997,70804.0,5014676.0,3.9199999999999995,12.01,35.07
MT,2024,ED,224.51854475,72074.0,5023507.0,3.96,12.03,35.08
MT,2024,IP,460.670863937,72074.0,5023507.0,3.96,12.03,35.08
NC,2023,ED,239.923958829,70804.0,4990227.0,3.97,12.01,35.09
NC,2023,IP,445.047580396,70804.0,4990227.0,3.97,12.01,35.09
NC,2024,ED,161799.566988219,72889.0,4991531.0,4.07,11.99,35.17
NC,2024,IP,119865.973330316,72889.0,4991531.0,4.07,11.99,35.17
ND,2023,ED,96.567371471,76525.0,5006530.0,4.02,11.98,34.83
ND,2023,IP,110.468595884,76525.0,5006530.0,4.02,11.98,34.83
ND,2024,ED,209.79919676699998,78343.0,5000825.0,3.96,11.929999999999998,34.89
ND,2024,IP,196.634153944,78343.0,5000825.0,3.96,11.93,34.89
NE,2023,ED,170498.664249964,74590.0,5006508.0,3.95,11.93,34.98
NE,2023,IP,430.344789829,74590.0,5006508.0,3.95,11.93,34.98
NE,2024,ED,162710.380888041,75956.0,4994672.0,3.97,11.98,35.14
NE,2024,IP,395.455850449,75956.0,4994672.0,3.97,11.98,35.14
NH,2023,ED,79.820035158,96838.0,5003226.0,3.99,11.99,34.98
NH,2023,IP,120.793433677,96838.0,5003226.0,3.99,11.99,34.98
NH,2024,ED,50.566477897,98013.0,5014660.0,3.97,12.020000000000001,35.02
NH,2024,IP,222.498624414,98013.0,5014660.0,3.9700000000000006,12.02,35.02
NJ,2023,ED,211.034376864,99781.0,4994974.0,4.05,12.02,34.88
NJ,2023,IP,58014.954710855,99781.0,4994974.0,4.05,12.02,34.88
NJ,2024,ED,169199.961750311,101972.0,4993073.0,4.0,12.02,35.11
NJ,2024,IP,535.888153424,101972.0,4993073.0,4.0,12.02,35.11
NM,2023,ED,233.770370016,62268.0,5000012.0,3.95,12.12,35.09
NM,2023,IP,389.039429119,62268.0,5000012.0,3.95,12.119999999999997,35.09
NM,2024,ED,175.588456704,63302.0,5006287.0,4.03,12.03,35.06
NM,2024,IP,223.21201210499999,63302.0,5006287.0,4.03,12.03,35.06
NV,2023,ED,178.598791528,76364.0,4989171.0,3.98,12.020000000000001,35.12
NV,2023,IP,305.263081842,76364.0,4989171.0,3.98,12.02,35.12
NV,2024,ED,163183.540760379,78254.0,5003532.0,4.06,11.99,35.06
NV,2024,IP,227.68387665900002,78254.0,5003532.0,4.06,11.99,35.06
NY,2023,ED,156890.849623999,82095.0,5003284.0,3.93,11.92,35.17
NY,2023,IP,792.061248619,82095.0,5003284.0,3.93,11.92,35.17
NY,2024,ED,497.814409363,83427.0,5010819.0,4.0,11.91,34.9
NY,2024,IP,493.269901741,83427.0,5010819.0,4.0,11.91,34.9
OH,2023,ED,541.0636748229999,67769.0,4983044.0,3.98,11.92,34.97
OH,2023,IP,576.315661886,67769.0,4983044.0,3.9800000000000004,11.920000000000002,34.97
OH,2024,ED,294.875726368,68786.0,5014783.0,3.9700000000000006,12.11,34.89
OH,2024,IP,494.92799833600003,68786.0,5014783.0,3.97,12.11,34.89
OK,2023,ED,249.633297726,62138.0,5014700.0,3.96,12.08,35.15
OK,2023,IP,59201.984650997,62138.0,5014700.0,3.9600000000000004,12.08,35.15
OK,2024,ED,152.692016819,63248.0,4990612.0,4.08,12.01,34.86
OK,2024,IP,340.95600031,63248.0,4990612.0,4.08,12.01,34.86
OR,2023,ED,112.546048793,80160.0,5023869.0,3.96,12.0,35.04
OR,2023,IP,145.48038126,80160.0,5023869.0,3.96,12.0,35.04
OR,2024,ED,113.643252217,81750.0,5009126.0,4.04,12.03,34.9
OR,2024,IP,237.798565963,81750.0,5009126.0,4.04,12.03,34.9
PA,2023,ED,158815.352577927,73824.0,4995132.0,3.96,11.93,34.85
PA,2023,IP,521.083270194,73824.0,4995132.0,3.96,11.93,34.85
PA,2024,ED,163271.143221463,75737.0,4980673.0,4.08,12.05,35.08
PA,2024,IP,552.109196783,75737.0,4980673.0,4.08,12.05,35.08
PR,2023,ED,76.538106892,76514.0,4997446.0,3.95,11.96,35.07
PR,2023,IP,144.584865933,76514.0,4997446.0,3.95,11.96,35.07
PR,2024,ED,123.257426203,76514.0,5007366.0,4.06,11.88,35.02
PR,2024,IP,133.365861398,76514.0,5007366.0,4.06,11.879999999999999,35.02
RI,2023,ED,66.86742136,84972.0,4998066.0,4.06,11.94,35.09
RI,2023,IP,34.190261959000004,84972.0,4998066.0,4.06,11.94,35.09
RI,2024,ED,3.156245526,86281.0,4987301.0,3.95,12.11,34.87
RI,2024,IP,61.938692247000006,86281.0,4987301.0,3.9500000000000006,12.11,34.87
SC,2023,ED,151.258494626,67804.0,5006173.0,4.02,11.96,35.06
SC,2023,IP,226.07467270499998,67804.0,5006173.0,4.02,11.96,35.06000000000001
SC,2024,ED,51.480533466,68662.0,4976308.0,4.0,12.08,35.11
SC,2024,IP,179.899287703,68662.0,4976308.0,4.0,12.08,35.11
SD,2023,ED,153.57046464500002,71810.0,5005067.0,4.08,11.97,34.86
SD,2023,IP,250.75498902799998,71810.0,5005067.0,4.08,11.97,34.86
SD,2024,ED,156547.714038185,73933.0,5014559.0,3.92,11.9,34.97
SD,2024,IP,120.000656574,73933.0,5014559.0,3.92,11.9,34.97
TN,2023,ED,117.864852226,67631.0,4985157.0,3.94,11.94,35.1
TN,2023,IP,340.273214873,67631.0,4985157.0,3.94,11.94,35.1
TN,2024,ED,421.77142611,69263.0,5020029.0,3.9299999999999997,12.03,34.98
TN,2024,IP,58344.447427163,69263.0,5020029.0,3.93,12.03,34.98
TX,2023,ED,164062.696443487,75780.0,4981069.0,3.92,11.93,35.05
TX,2023,IP,57842.409459408,75780.0,4981069.0,3.92,11.93,35.05
TX,2024,ED,157951.33115614,77908.0,5021848.0,4.06,12.11,35.03
TX,2024,IP,59836.069794744,77908.0,5021848.0,4.06,12.11,35.03
UT,2023,ED,64.407681262,93421.0,5008132.0,4.02,11.89,34.87
UT,2023,IP,277.651494075,93421.0,5008132.0,4.02,11.890000000000002,34.87
UT,2024,ED,144.862680539,94888.0,4999069.0,4.02,11.97,35.06
UT,2024,IP,62.845441377,94888.0,4999069.0,4.02,11.97,35.06
VA,2023,ED,202.370587702,89931.0,5006229.0,4.07,12.09,34.89
VA,2023,IP,278.198422337,89931.0,5006229.0,4.07,12.09,34.89
VA,2024,ED,196.958488252,91897.0,5007068.0,3.94,11.96,34.91
VA,2024,IP,49373.141707845,91897.0,5007068.0,3.94,11.96,34.91
VI,2023,IP,31.1827957,76514.0,5005285.0,4.06,12.1,35.06
VI,2024,ED,24.32432432,76514.0,4986795.0,3.98,11.92,34.93
VT,2023,ED,62.840347938,81211.0,5011883.0,4.01,11.99,35.0
VT,2023,IP,83.87712066899999,81211.0,5011883.0,4.01,11.99,35.0
VT,2024,ED,1.519617411,83253.0,5007497.0,4.04,12.09,35.0
VT,2024,IP,38.52405203399999,83253.0,5007497.0,4.04,12.09,35.0
WA,2023,ED,151.305436937,94605.0,4984009.0,4.02,11.990000000000002,34.98
WA,2023,IP,243.392875269,94605.0,4984009.0,4.02,11.989999999999998,34.98
WA,2024,ED,311.382436124,96670.0,4976952.0,4.04,11.9,34.88
WA,2024,IP,55098.954588419,96670.0,4976952.0,4.04,11.9,34.88
WI,2023,ED,350.737394671,74631.0,4979309.0,4.04,11.9,34.85
WI,2023,IP,236.860073575,74631.0,4979309.0,4.04,11.9,34.85
WI,2024,ED,212.91812602,75939.0,5005902.0,4.01,12.1,35.13
WI,2024,IP,362.29625200600003,75939.0,5005902.0,4.01,12.1,35.13
WV,2023,ED,225.001180359,55948.0,5014845.0,3.9700000000000006,11.93,35.15
WV,2023,IP,106.413801362,55948.0,5014845.0,3.97,11.93,35.15
WV,2024,ED,151.32748059,56722.0,4989224.0,4.06,11.929999999999998,35.1
WV,2024,IP,276.955062346,56722.0,4989224.0,4.06,11.929999999999998,35.1
WY,2023,ED,21.849506513999998,72415.0,4977027.0,4.03,12.06,34.99
WY,2023,IP,85.890092899,72415.0,4977027.0,4.03,12.06,34.99
WY,2024,ED,109.685277007,73371.0,4986014.0,4.05,11.91,35.13
WY,2024,IP,57.549598661000005,73371.0,4986014.0,4.05,11.91,35.13
